file,statements,missed,coverage_percent
src/__init__.py,0,0,100.0
src/entities/__init__.py,2,0,100.0
src/entities/entities.py,90,0,100.0
src/patterns/__init__.py,5,0,100.0
src/patterns/decorator.py,24,2,91.67
src/patterns/facade.py,20,1,95.0
src/patterns/factory.py,42,9,78.57
src/patterns/observer.py,49,4,91.84
src/services/__init__.py,2,0,100.0
src/services/services.py,44,7,84.09
tests/__init__.py,0,0,100.0
tests/acceptance/__init__.py,0,0,100.0
tests/acceptance/test_playback_scenario.py,41,0,100.0
tests/unit/__init__.py,0,0,100.0
tests/unit/test_decorator.py,17,0,100.0
tests/unit/test_factory.py,20,0,100.0
tests/unit/test_observer.py,40,0,100.0
TOTAL,396,23,94.19
